學校代碼,公私立,學校體制,學校名稱,領域代碼,領域名稱,學門代碼,學門名稱,學類代碼,學類名稱,科系代碼,科系名稱,電話,電話分機,傳真,電子郵件,網址
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220322,阿拉伯語文學系,02-2939-3091,63401,02-2938-7074,arabic@nccu.edu.tw,http://www.arabic.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220324,韓國語文學系,02-2938-7073,無,02-2938-7182,korea@nccu.edu.tw,http://korean.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220326,土耳其語文學系,02-2939-3091,62312,02-2939-0434,turkish@nccu.edu.tw,http://turkish.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220327,歐洲語文學系,02-2939-3092,63036,02-2938-7608,european@nccu.edu.tw,http://european.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220333,斯拉夫語文學系,02-2938-7280,無,02-2938-5776,slavic@nccu.edu.tw,http://slavic.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2207,語言學類,220701,語言學研究所,02-2938-7246,無,02-2938-7466,nccu555@nccu.edu.tw,http://ling.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2208,宗教學類,220801,宗教研究所,02-2938-7730,無,02-2938-7731,religion@nccu.edu.tw,http://www.religion.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2209,歷史學類,220901,歷史學系,02-2938-7045,無,02-2939-0257,history@nccu.edu.tw,http://www.history.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2209,歷史學類,220903,台灣史研究所,02-2938-7575,無,02-2938-7573,formosa@nccu.edu.tw,http://www.taiwan.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2211,哲學學類,221101,哲學系,02-2939-3091,62361,02-2939-0514,thinker@nccu.edu.tw,http://thinker.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,2,人文及藝術領域,22,人文學門,2299,其他人文學類,229918,中東與中亞研究碩士學位學程,02-2938-7070,無,02-2939-0459,foreign@nccu.edu.tw,http://www.mecas.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3101,經濟學類,310101,經濟學系,02-2938-7066,無,02-2939-0344,econo@nccu.edu.tw,http://econo.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3101,經濟學類,310112,應用經濟與社會發展英語碩士學位學程,02-2938-7421,無,02-2938-7449,imes@nccu.edu.tw,http://www.imes.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3102,政治學類,310201,政治學系,02-2939-3091,50771,02-2939-0201,ywchang@nccu.edu.tw,http://www.politics.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3102,政治學類,310207,國際事務學院國家安全與大陸研究碩士在職專班,02-2939-3091,51102,02-2938-7886,ocia@nccu.edu.tw,http://www.ocia2008.nccu.edu.tw/mns/mns.htm
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3103,社會學類,310301,社會學系,02-2939-3091,50858,02-2938-7168,sociol@nccu.edu.tw,http://sociology.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3104,民族學類,310401,民族學系,02-2939-3091,50551,02-2938-7587,ethnos@nccu.edu.tw,http://www.ethnos.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3105,心理學類,310501,心理學系,02-2939-3091,62981,02-2939-0644,frank997@nccu.edu.tw,http://psy.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3105,心理學類,310506,輔導與諮商碩士學位學程,02-2939-3091,65451,無-無,mpcg@nccu.edu.tw,http://www.mpcg.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3107,區域研究學類,310702,東亞研究所,02-2939-3091,50801,02-2939-1445,eastasia@nccu.edu.tw,http://eastasia.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3107,區域研究學類,310705,日本研究博士學位學程,02-2939-3091,51110,02-2938-7720,mpjs@nccu.edu.tw,http://www.mpjs.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3107,區域研究學類,310705,日本研究碩士學位學程,02-2939-3091,51110,02-2938-7720,mpjs@nccu.edu.tw,http://www.mpjs.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3107,區域研究學類,310709,俄羅斯研究所,02-2939-3091,50806,02-2938-7124,russia@nccu.edu.tw,http://rustudy.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3107,區域研究學類,310728,亞太研究英語博士學位學程,02-2939-3091,51278,02-2938-7449,idas@nccu.edu.tw,http://www.worldseenccu.info/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3107,區域研究學類,310728,亞太研究英語碩士學位學程,02-2939-3091,51255,02-2938-7449,imas@nccu.edu.tw,http://www.worldseenccu.info/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3108,公共行政學類,310801,公共行政學系,02-2939-3091,51157,02-2939-1144,pa@nccu.edu.tw,http://pa.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3108,公共行政學類,310804,行政管理碩士學程,02-2939-3091,51363,02-2938-7910,mepa@nccu.edu.tw,http://www.mepa.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3108,公共行政學類,310811,地政學系,02-2939-3091,50618,02-2939-0251,dole@nccu.edu.tw,http://landeconomics.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3109,國際事務學類,310905,外交學系,02-2939-3091,50918,02-2939-0173,dip50918@nccu.edu.tw,http://diplomacy.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3109,國際事務學類,310909,國際研究英語碩士學位學程,02-2939-3091,51112,02-2938-7886,impis@nccu.edu.tw,http://impis.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3110,綜合社會及行為科學學類,311002,國家發展研究所,02-2939-7068,無,02-2939-7202,gids@nccu.edu.tw,http://gids.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3110,綜合社會及行為科學學類,311003,勞工研究所,02-2939-3091,51236,02-2939-3334,labor@nccu.edu.tw,http://www.labour.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3201,一般大眾傳播學類,320102,傳播學院傳播碩士學位學程,02-2938-7123,無,02-2938-2063,gradcomm@nccu.edu.tw,http://comm.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3201,一般大眾傳播學類,320102,傳播學院傳播學士學位學程,02-2939-3091,67665,02-2938-2063,tina1127@nccu.edu.tw,http://www.ccudp.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3201,一般大眾傳播學類,320115,國際傳播英語碩士學位學程,02-2938-7550,無,02-2938-7547,imics@nccu.edu.tw,http://www.imics.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3202,新聞學類,320201,新聞學系,02-2939-3091,67431,02-2939-3042,jour@nccu.edu.tw,http://www.jschool.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3203,廣播電視學類,320301,廣播電視學系,02-2939-3091,63901,02-2939-3024,rtv@nccu.edu.tw,http://www.rtv.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3206,圖書資訊檔案學類,320603,圖書資訊與檔案學研究所,02-2939-3091,62952,02-2938-4704,cswu@nccu.edu.tw,http://www.lias.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3208,廣告學類,320802,廣告學系,02-2939-3091,67122,02-2939-3830,adnccu@nccu.edu.tw,http://www.ad.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3299,其他傳播及資訊學類,329999,傳播學院大一大二不分系,02-2939-3091,67078,02-2938-2063,umicc@nccu.edu.tw,http://comm.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3299,其他傳播及資訊學類,329999,傳播學院博士班,02-2939-3090,無,02-2938-2063,comm@nccu.edu.tw,http://comm.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,32,傳播學門,3299,其他傳播及資訊學類,329999,傳播學院碩士在職專班,02-8661-1460,無,無-無,ema.comm@nccu.edu.tw,http://ema.comm.nccu.edu.tw/index.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3402,會計學類,340201,會計學系,02-2939-3091,無,02-2938-7113,acctast@nccu.edu.tw,http://acct.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3403,企業管理學類,340301,企業管理研究所(MBA學位學程),02-2939-3091,85567,02-2938-7723,mba@nccu.edu.tw,http://www.mba.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3403,企業管理學類,340301,企業管理學系,02-2939-3091,87071,02-2939-8005,ba@nccu.edu.tw,http://www.ba.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3403,企業管理學類,340303,經營管理碩士學程,02-2938-7560,無,02-2938-7883,km.emba@nccu.edu.tw,http://www.emba.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3403,企業管理學類,340310,國際經營管理英語碩士學位學程,02-2938-7912,無,02-2938-7882,imba@nccu.edu.tw,http://imba.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3404,貿易學類,340408,國際經營與貿易學系,02-2939-8033,無,02-2938-7699,ib@nccu.edu.tw,http://www.ib.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3405,財務金融學類,340504,財務管理學系,02-2939-3091,88592,02-2939-3394,finance@nccu.edu.tw,http://www.finance.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3405,財務金融學類,340505,金融學系,02-2939-3091,無,02-2937-9611,banking@nccu.edu.tw,http://banking.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3406,風險管理學類,340601,風險管理與保險學系,02-2939-3091,89070,02-2939-3864,rmi@nccu.edu.tw,http://rmi.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3407,財政學類,340701,財政學系,02-2938-7063,無,02-2939-0074,pfdm@nccu.edu.tw,http://pf.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,34,商業及管理學門,3499,其他商業及管理學類,349984,科技管理與智慧財產研究所,02-2939-3091,89094,02-2936-3765,julie@nccu.edu.tw,http://tiipm.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,38,法律學門,3801,一般法律學類,380101,法律學系,02-2938-7055,無,02-2938-7235,justice@nccu.edu.tw,http://www.law.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,38,法律學門,3802,專業法律學類,380204,法律科際整合研究所,02-2938-7054,無,02-2938-7235,tsz_yan@nccu.edu.tw,http://www.interdisc-law.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,3,社會科學、商業及法律領域,38,法律學門,3899,其他法律學類,389998,法學院碩士在職專班,02-2939-3091,51418,02-2938-7235,chu-chun@nccu.edu.tw,http://www.llm.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,4,科學領域,44,自然科學學門,4403,物理學類,440302,應用物理研究所,02-2938-7767,無,02-2938-7769,physics@nccu.edu.tw,http://www.phys.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,4,科學領域,46,數學及統計學門,4601,數學學類,460102,應用數學系,02-2938-7046,無,02-2938-7905,mathoffice@math.nccu.edu.tw,http://www.math.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,4,科學領域,46,數學及統計學門,4602,統計學類,460201,統計學系,02-2938-7115,無,02-2939-8024,statdept@nccu.edu.tw,http://stat.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,4,科學領域,48,電算機學門,4801,電算機一般學類,480109,資訊管理學系,02-2939-3091,89055,02-2939-3754,mis@nccu.edu.tw,http://www.mis2.nccu.edu.tw/main.php
1,公立(含市立),大學校院,國立政治大學,4,科學領域,48,電算機學門,4805,電算機應用學類,480505,數位內容碩士學位學程,02-2939-3091,62670,02-2937-8629,dct@nccu.edu.tw,http://www.dct.nccu.edu.tw/
1,公立(含市立),大學校院,國立政治大學,5,工程、製造及營造領域,52,工程學門,5201,電資工程學類,520116,資訊科學系,02-2938-7242,無,02-2234-1494,nccucschairman@gmail.com,http://www.cs.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,5,工程、製造及營造領域,52,工程學門,5201,電資工程學類,520178,社群網路與人智計算國際研究生博士學位學程,02-2789-8050,無,02-2234-1494,huayishen@gate.sinica.edu.tw,http://tigp.sinica.edu.tw/
1,公立(含市立),大學校院,國立政治大學,7,醫藥衛生及社福領域,72,醫藥衛生學門,7201,醫學學類,720111,神經科學研究所,02-2939-3091,62990,02-2938-7567,lillian@nccu.edu.tw,http://in.nccu.edu.tw
1,公立(含市立),大學校院,國立政治大學,7,醫藥衛生及社福領域,76,社會服務學門,7603,社會工作學類,760301,社會工作研究所,02-2939-3091,51446,02-2938-7240,sociwork@nccu.edu.tw,http://socialwork.nccu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2201,台灣語文學類,220101,台灣文學研究所,03-571-4153,無,03-571-4113,tai@my.nthu.edu.tw,http://www.tl.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2202,中國語文學類,220201,中國文學系,03-571-3677,無,03-572-5973,cl@my.nthu.edu.tw,http://www.cl.nthu.edu.tw/bin/home.php
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2203,外國語文學類,220301,外國語文學系,03-571-8657,無,03-571-8977,fl@my.nthu.edu.tw,http://www.fl.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2207,語言學類,220701,語言學研究所,03-571-8615,無,03-572-5994,ling@my.nthu.edu.tw,http://www.ling.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2209,歷史學類,220901,歷史研究所,03-572-7128,無,03-571-6780,his@my.nthu.edu.tw,http://www.hist.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2210,人類學學類,221001,人類學研究所,03-572-0049,無,03-572-2800,ioant@my.nthu.edu.tw,http://www.anth.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2211,哲學學類,221101,哲學研究所,03-572-9336,無,03-572-9337,philos@my.nthu.edu.tw,http://philos.web.nthu.edu.tw/bin/home.php
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2299,其他人文學類,229916,亞際文化研究國際碩士學位學程(台灣聯合大學系統),03-572-4876,無,03-572-3869,apcs@my.nthu.edu.tw,http://iics.ust.edu.tw
2,公立(含市立),大學校院,國立清華大學,2,人文及藝術領域,22,人文學門,2299,其他人文學類,229999,人文社會學院學士班,03-574-2793,無,03-572-6318,dhss@my.nthu.edu.tw,http://www.dhss.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3101,經濟學類,310101,經濟學系,03-562-8202,無,03-562-9805,econ@my.nthu.edu.tw,http://www.econ.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3103,社會學類,310301,社會學研究所,03-571-2090,無,03-575-1917,iosoc@my.nthu.edu.tw,http://www.soc.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3107,區域研究學類,310719,台灣研究教師在職進修碩士學位班,03-571-4153,無,03-571-4113,humansos@my.nthu.edu.tw,http://www.hss.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3108,公共行政學類,310807,科技管理學院公共政策與管理碩士在職專班,03-516-2522,無,03-562-7046,mpm@my.nthu.edu.tw,http://mpm.web.nthu.edu.tw/bin/home.php
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,31,社會及行為科學學門,3110,綜合社會及行為科學學類,311019,學習科學研究所,03-575-0728,無,03-573-9254,ils@my.nthu.edu.tw,http://ilst.nthu.edu.tw/bin/home.php
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3403,企業管理學類,340303,經營管理碩士在職專班,03-574-2253,無,03-562-7046,mba@my.nthu.edu.tw,http://mba.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3403,企業管理學類,340310,國際專業管理碩士班,03-516-2105,無,03-561-0141,imba@my.nthu.edu.tw,http://imba.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3405,財務金融學類,340501,科技管理學院財務金融碩士在職專班,03-516-2522,無,03-562-7046,mfb@my.nthu.edu.tw,http://fbm.web.nthu.edu.tw/bin/home.php
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3405,財務金融學類,340501,計量財務金融學系,03-574-2422,無,03-562-1823,qf@my.nthu.edu.tw,http://www.qf.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3499,其他商業及管理學類,349901,科技管理研究所,03-574-2948,無,03-562-3770,tm@my.nthu.edu.tw,http://www.tm.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3499,其他商業及管理學類,349939,高階經營管理碩士在職專班,03-574-2447,無,03-562-7046,emba@my.nthu.edu.tw,http://emba.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3499,其他商業及管理學類,349951,服務科學研究所,03-516-2116,無,03-561-6345,iss@my.nthu.edu.tw,http://www.iss.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,34,商業及管理學門,3499,其他商業及管理學類,349996,科技管理學院學士班,03-516-2102,無,03-562-2306,dmm@my.nthu.edu.tw,http://www.dspmt.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,3,社會科學、商業及法律領域,38,法律學門,3802,專業法律學類,380203,科技法律研究所,03-574-2427,無,03-562-9380,lst@my.nthu.edu.tw,http://www.lst.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4201,生物學類,420103,化學生物學與分子生物物理學學程,03-574-2745,無,03-571-5934,sb@life.nthu.edu.tw,http://tigp.sinica.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4201,生物學類,420103,生命科學系,03-574-2770,無,03-571-5934,ls@life.nthu.edu.tw,http://www.life.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4203,生物科技學類,420302,生物科技研究所,03-574-2745,無,03-571-5934,bt@life.nthu.edu.tw,http://bt.life.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4203,生物科技學類,420313,分子與細胞生物研究所,03-574-2463,無,03-571-5934,meb@life.nthu.edu.tw,http://mcb.life.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4203,生物科技學類,420327,生技產業博士學位學程,03-574-2463,無,03-571-5934,bi@life.nthu.edu.tw,無
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4206,生物訊息學類,420605,生物資訊與結構生物研究所,03-574-2745,無,03-571-5934,sb@life.nthu.edu.tw,http://sb.life.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4206,生物訊息學類,420610,生物資訊學學程,03-574-2745,無,03-571-5934,sb@life.nthu.edu.tw,http://tigp.sinica.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4299,其他生命科學類,429903,生命科學院學士班,03-574-2761,無,03-571-5934,life@life.nthu.edu.tw,http://up.life.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4299,其他生命科學類,429904,系統神經科學研究所,03-574-2044,無,03-571-5934,sn@life.nthu.edu.tw,http://sn.life.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,42,生命科學學門,4299,其他生命科學類,429906,跨領域神經科學博士學位學程(台灣聯合大學系統),03-574-2044,無,03-571-5934,sn@life.nthu.edu.tw,http://college.life.nthu.edu.tw/app/super_pages.php?ID=INPDP
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4401,化學學類,440101,分子科學與技術學程,03-571-3887,無,03-571-1082,chem@my.nthu.edu.tw,http://tigp.sinica.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4401,化學學類,440101,化學生物學與分子生物物理學學程,03-571-3887,無,03-571-1082,chem@my.nthu.edu.tw,http://tigp.sinica.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4401,化學學類,440101,化學系,03-571-6931,無,03-571-1082,chem@my.nthu.edu.tw,http://chem.web.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4403,物理學類,440301,物理學系,03-571-9037,無,03-572-3052,office@phys.nthu.edu.tw,http://www.phys.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4406,天文及太空科學學類,440601,天文研究所,03-574-2666,無,03-572-3052,astr@phys.nthu.edu.tw,http://www.astr.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4499,其他自然科學學類,449905,先進光源科技博士學位學程,03-574-2425,無,03-572-3762,sls@my.nthu.edu.tw,http://mynsrrc.nsrrc.org.tw/edu/nthu/treepreservation/Tblog.html
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4499,其他自然科學學類,449905,先進光源科技碩士學位學程,03-574-2425,無,03-572-3762,sls@my.nthu.edu.tw,http://mynsrrc.nsrrc.org.tw/edu/nthu/treepreservation/Tblog.html
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4499,其他自然科學學類,449912,環境科技博士學位學程(台灣聯合大學系統),03-572-5077,無,03-571-8649,ns@my.nthu.edu.tw,http://ust-est.csrsr.ncu.edu.tw/?locale=zh-TW
2,公立(含市立),大學校院,國立清華大學,4,科學領域,44,自然科學學門,4499,其他自然科學學類,449999,理學院學士班,03-571-9039,無,03-572-3762,scidm@my.nthu.edu.tw,http://scidm.web.nthu.edu.tw/
2,公立(含市立),大學校院,國立清華大學,4,科學領域,46,數學及統計學門,4601,數學學類,460101,數學系,03-571-3784,無,03-572-3888,math@math.nthu.edu.tw,http://www.math.nthu.edu.tw/
