學年度,設立別,學校類別,學校統計處代碼,學校名稱,當學年度全校總量內核定新生招生名額(A),當學年度全校新生保留入學資格人數(B),當學年度全校總量內新生招生核定名額之實際註冊人數(C),當學年度全校境外(新生)學生實際註冊人數（D）全校境外(新生)學生實際註冊人數(D)(107學年度新增),當學年度全校新生註冊率,全校招生特色說明
106,公立,一般大學,0013,國立中正大學,3416,9,3113,...,91.37,本校以培養學生具有競爭力Competitive、人文關懷Considerate、及團隊合作United精神為教育目標。配合高教政策，以落實多元入學、高中均質、區域均衡及照顧弱勢的理念為招生方向。研究所旨在培養具獨立思考、判斷能力的研究人才，本校除繼續前瞻製造系統、高齡社會、毒品防治等頂尖研究外，亦推動人文/社會與理工的跨域合作，落實人文/社會與科技相輔相成的理念。積極從事產官學合作，成立區域產學聯盟，促進技術提升與產業轉型，深耕社區，地方與大學攜手共為追求幸福新境而努力。與成功、中山、中興大學組成臺灣綜合大學系統，增廣學生學習領域，共享學習資源。為與國際接軌，積極與國際名校進行學術交流、交換學生及雙聯學制。專業知識與人文素養，有如一車雙軌不宜偏廢，本校學風自由尊重多元價值，大學生活，不僅是習得專業知識或職涯能力，還應具豐富生命的涵養及追求幸福的動能，以開濶的心胸涵納多元言論及知識領域。
106,公立,一般大學,0014,國立高雄師範大學,2051,0,1848,...,90.10,本校以全人教育為基石，依循師培與非師培並重的定位、發展跨系所與跨學院的教學與研究、強化國際交流的願景目標，在五大學院教學研究資源基礎之上，致力於結合產業、學術、研究、教學網絡資源，培育優質教師與社會多元專業人才及全方位未來產業界人才。經全校師生50年來的共同努力，業已營造出國際化、數位化、具創意、有效能、重分享、有品保的教學與學習環境，並已發展成為一所學術研究與卓越教學兼顧，科際整合與多元創新兼具、師培與非師培雙核心並重的優質大學。本校日間部現有5個學院，19個學系，30個碩士班以及11個博士班，學生近七千人。除此之外，本校依循師培與非師培並重的定位，同時開設中小學教師在職進修碩士學位班與一般成人可報考的碩士學位在職專班。歷屆畢業生在教育工作崗位及各行各業上，均能克盡職守，成為國家優良教師、學術和產業優秀人才。
106,公立,一般大學,0015,國立彰化師範大學,2409,12,2272,...,94.79,本校為彰化縣唯一的國立大學，長年致力於中部地區師資培育，追求卓越之辦學精神，孕育學界優良師資，奉獻教學專長。並因應時下就業型態轉變，戮力於各系所之創新研究，秉持務實致用之人才培育宗旨，積極與產業界規劃開設高階能力培訓課程，爭取研發經費及資源。深耕教學與研究之餘，本校亦陸續開創多元學分學程，擴大學生未來就業選擇。
106,公立,一般大學,0016,國立陽明大學,1286,12,1085,...,85.16,本校為國內第一所以醫學為主的綜合大學，除醫學院外，另設有生物醫學暨工程學院、生命科學院、護理學院、牙醫學院、人文與社會科學學院及藥物科學院，共計有11個學士班(含1個學士學位學程及1個不分系)、33個碩士班(含3個碩士學位學程)、4個碩士在職專班(含1個碩士在職學位學程)及31個博士班(含8個博士學位學程)，採行PBL(Problem-Based Learning)等教學方式，培養學生自我學習及思考能力，以期培育具紮實基礎知識、人文關懷且能自我思考判斷的生醫領域專業人才。   本校與中央大學、交通大學及清華大學組成「台灣聯合大學系統」，藉由締盟強化四校基礎教育結構並整合重點研究；此外、亦與國內外及研究機構從事學術交流或簽訂學術合作協定，透過產學合作及國際化，建構良好教育環境並提昇學術研究層次，成為生醫領域研究的領航員。
106,公立,一般大學,0017,國立臺北大學,2646,4,2515,...,95.19,本校前身為省立行政專科學校，創立於民國38年，為我國最早的大學之ㄧ，嗣後經歷省立法商學院、中興大學法商學院等階段發展，於民國89年改制為國立臺北大學。14年來發展為具備法律、商學、公共事務、社會科學、人文與電機資訊6學院，共有法律、企管、會計、統計、金融與合作經營、休閒運動管理、公共行政暨政策、財政、不動產與城鄉環境(原地政)、經濟、社會學、社會工作、中文、應用外語、歷史、電機工程、資訊工程、通訊工程等18學系，6獨立研究所、22碩士班、9博士班、8碩士在職專班以及9進修學士班的綜合大學。另有師資培育中心、通識中心、全球變遷與永續科學研究中心及亞洲研究中心等學術組織。本校師資陣容堅強，教學認真卓越，積極推動學生修讀輔系、雙主修跨領域專業學習，培養出的學生不僅品學兼優，畢業後為社會各行各業所器重，更是孕育國家高級文官與高階管理人才之搖籃。畢業校友人才濟濟，表現傑出，深獲社會各界肯定與讚賞。
106,公立,一般大學,0018,國立嘉義大學,3572,25,3190,...,89.94,本校為綜合型大學，設有師範、人文、管理、農業、理工、生命科學及獸醫等7個學院，40個學系組，學術專長領域多元且涵蓋教育、人文、科技、農業、動物醫學、生活管理等廣大面向。  各學院分別座落於民雄、蘭潭及新民校區，各校區皆提供學生宿舍，並保障大一新生優先居住，且嘉義生活美食甲臺灣，衣食住行均方便，生活機能完善，同學可在優質的環境中學習成長。在教學方面，建構以學生學習成效為導向的教學品保制度，由「教師本位」走向「學生本位」，融合全人教育理念，推動教學品質保證制度，於師資安排、課程設計、學生學習、資源挹注各層面強化精進，以提供學生良好的教學品質，學生可習得特定專長領域並可跨領域輔修。  本校校地廣闊，基礎硬體建設完善，建構師生優質學習、教學、研究及活動所需空間，充實資訊科技、圖書儀器、運動、住宿環境、藝文空間的軟硬體設備，大幅擴充整體教育資源，提供師生優質的研究與學習環境。
106,公立,一般大學,0019,國立高雄大學,1545,7,1416,...,92.07,一、願景：  提供全人教育之環境並配合產業發展，培育菁英人才之特色優質大學，並持續朝具國際聲望之特色型大學邁進。  二、優質學習環境：  獲教育部教學卓越計畫經費補助之肯定，落實學用合一，強調產學合作機制，並提供跨領域學程或5年取得學士+碩士方案；質高價合理的教育環境與升學機會，教師年輕熱誠，並獲2012遠見雜誌最具研究潛力大學全國第8；提供宿舍住宿、多元獎學金，並可申請校內工讀；環境優美，獲教育部頒「綠色大學」，為國家重要濕地之一。   三、國際化教育環境：  與全球約150餘所大學建立姊妹校關係，提供申請海外短期研修獎學金。鼓勵學生至日、韓、越、歐美、大陸等企業進行海外實習，強化未來就業競爭力。另針對低收入或中低收入家庭學生進行國際交換，另提供獎學金申請。  四、產業聚落：  交通便利鄰近高鐵站、捷運站、機場、加工出口區與科學園區、軟體園區等產業聚集，並積極進行產學合作。
106,公立,一般大學,0020,國立東華大學,2702,59,2300,...,87.02,本校目前有人文社會科學學院、理工學院、管理學院、原住民民族學院、花師教育學院、藝術學院、環境學院及海洋科學學院等八大學院，涵蓋領域廣泛，並且擁有學士班、碩士班、碩士在職專班及博士班完整學制，提供學生學習深度、廣度的機會及空間。在資訊科技瞬息萬變、國際情勢牽一髮動全局的新世紀，物流趨向、經濟管理已朝全球運籌方向發展，自然資源的維護與管理亦是刻不容緩，東華不但以永續經營的理念、資源整合的方式培養具有國際視野的人才，也結合地方特色、研究在地產業，舉凡石材、生物科技、電腦軟體、港區產業、觀光休閒以及東部人力資源等。兼具地域特性與時代趨勢的研究方向，正是東華躋身國際學術主流的籌碼。
106,公立,一般大學,0021,國立暨南國際大學,1718,3,1424,...,83.03,本校位於台灣地理中心南投縣埔里鎮，四周層巒疊翠視野開闊，校地總面積150公頃，位列全國大專校院前茅，國道六號通車後，往返學校更加便捷。設有人文、教育、管理、科技四學院，計有20個學士班、25個碩士班(另設7個碩士在職專班)、15個博士班，優質師資與學習環境是莘莘學子的最佳選擇。暨大學費負擔低，擁有高品質的學習資源，坐擁豐富而美麗的自然環境，發展多項特色運動課程，包含：輕艇、射箭、高爾夫、壘球等，讓同學能鍛練強健體魄。本校也提供優渥獎助學金。《商業周刊》與 104人力銀行合作，於1328期公布暨大穩居公立一般大學第2名(僅次陽明大學)！主辦單位將各校就業率由高而低排列，取其前4分之1形成「領先群」，在樣本條件符合的147所大學中，共有包括本校在內的37所大學進入領先群。統計顯示，全台大學的就業率平均為64％(畢業6個月內找到第1份全職工作)；本校為公立大學的第2名，就業率為71.33%。
106,公立,技專校院,0022,國立臺灣科技大學,2626,14,2525,...,96.67,1.本校成立於民國63年，前身為「國立臺灣工業技術學院」，民國68年成立碩士班，民國71年成立博士班。 2.本校近年來傑出表現： (1)世界最佳大學排名第260，全國第五(2015英國QS高等教育機構)。 (2)全球最佳大學排名第333(2015英國泰晤士報) 。 (3)德國iF及紅點設計獎排名，全球第一。 (4)世界大學領域排名社會科學領域第81，臺灣首次進入百大(2014英國TIMES)。 (5)同時獲選邁向頂尖大學計畫及發展典範科技大學計畫的大學。 (6)12所頂尖大學之一。 (7)QS全球學科前兩百大最佳排行，五領域上榜(2013英國QS高等教育機構) 。 3.至今各系所畢業校友已達6萬餘位，畢業出路包含出國繼續深造、國內深造以及投身於產業界。由於實作經驗豐富，理論基礎完備，工作態度認真，畢業校友擔任政府要職、大學教授及企業主管者眾多，深受肯定。
106,公立,技專校院,0023,國立雲林科技大學,2728,1,2412,...,88.45,本校成功打造Yuntech品牌，教學設備充實，學風鼎盛，創意一流，為教學卓越及研究績優之典範科技大學。整合各學院專業特色與專長，發展「綠色科技與生活」及「文化創意」之特色領域，運用產學合作、設計創新優勢，打造「產學與創新合體，典範與分享並進」之務實致用型科技大學。本校現有四技、四技進修學制、二技、碩士班、碩士在職專班、博士班學制，提供多元入學管道。各系所發展招生特色、課程與職涯發展均公開於系所網站，致力培育具「知識整合能力」、「國際競爭優勢」與「人文與科技兼備」的高階人才，透過多項助學方案，設置獎助學金及證照獎勵金，並透過產學合作計畫，提供學生實務與實習的經驗，吸引國內外優秀學生及產業菁英進入本校研讀。
106,公立,技專校院,0024,國立屏東科技大學,2819,9,2365,...,84.16,1、全人化－透過課程的教學以及無形的陶冶與溫馨的關懷，健全人格發展，使學生不僅是具有工作能力的專業化，也是兼具社會責任的社會人與富有人文關懷的文化人。 2、專業化－掌握人力市場資訊，培養學生具有紮實的工作能力、學習能力與創造能力，以符職場需求，或從事科技研發與經營管理，以促進國家產業升級。 3、國際化－因應國際化趨勢，培育學生立足地球村應有的素質，強化國際語文能力，增進對國際社會的認識，瞭解國際政經的發展，提升學生國際競爭力。
106,公立,技專校院,0025,國立臺北科技大學,3444,4,3298,...,95.87,本校以工業技術人才培育為學校定位與發展方向，改制為科技大學後，更致力於高階科技研發、設計與管理人才之養成，形塑「企業家搖籃」與「具技職特色之實務研究型大學」之目標。105學年度日間部研究所計有25個碩士班、17個博士班，分設於機電學院、電資學院、工程學院、管理學院、設計學院及人文學院等6學院；進修部有二技、四技學優專班、四技產學訓專班、碩士在職專班、管理學院EMBA班。本校研究所以「接軌深耕」、「將才打造」為人才培育特色，著重強化實務研發，平行發展學術與產業核心技術，引進「校外實務研究」、「創新創業計畫」及「明珠計畫」等課程，串聯「點子工場」、「自造工坊」及「青創基地」等資源，提供本校學生全方位支持與輔導。每學年度培育逾千名研究生，校友遍佈產業界，更榮獲QS世界大學第551名、2016年Cheers雜誌企業最愛技職第一名等國內外各項殊榮。
106,公立,技專校院,0026,國立高雄第一科技大學,2156,4,1971,...,91.59,"1.全國首座「創夢工場」，獲教育部指定為「創新自造教育南部大學基地」。 2.全國首座「實習金控中心」，獲教育部指定為「生產力4.0商業服務類」總召集學校。 3.參加教育部大專畢業生創業服務計畫(U-Start)，通過件數已四度獲得全國第一名。 4.2016《天下雜誌》590期譽為台灣最積極推動「財金跨資訊」之學校。 5.2006-2016年連續11年榮獲教育部教學卓越計畫共5億293萬元。 6.2013-2016年連續4年榮獲教育部典範科大計畫共2億6,550萬元。 7.1111人力銀行2016雇主最滿意大學調查，企業最愛技職校院全台第5。 8.2016《Cheers》雜誌最佳大學指南專刊「2016校長互評辦學績效進步卓越大學TOP20」，本校榮獲 第15名。"
106,公立,技專校院,0027,國立高雄應用科技大學,3657,6,3406,...,93.29,國立高雄應用科技大學創校於1963年，前身為「高雄工專」，是台灣最早投入工業技術人才培育的學校之一，歷經50年穩健發展，現有一萬三千多名在校生、10萬餘名校友，設有工學院、電資學院、管理學院、人文社會學院四個學院，分別座落於交通便利的建工校區和青山環抱的燕巢校區，以校訓「弘於心、毅於志、精於業、勤於事」為教育理念，發展多樣化與專業化技職教育。 本校定位為「親產業的優質科技大學」，依學校發展條件優勢，配合鄰近楠梓、臨海工業區及高雄科技園區之地區產業需求，鎖定六大重點發展領域，涵蓋：「智慧電能與電動車」、「智慧綠建築與智慧照護」、「綠色能源與材料」、「高速通訊網路與智慧商務服務」、「智慧製造與精密模具」及「文創城市與都市防災」，透過教育部於本校設置之「南區區域產學合作中心」及經濟部補助設置之「創新育成中心」，積極推動產業合作人才培育機制，合作企業高達百家以上。
106,公立,一般大學,0028,國立臺北藝術大學,731,6,691,...,95.31,本校成立於1982年，當時名為「國立藝術學院」，2001年改名為「國立臺北藝術大學」，目前設有音樂、美術、戲劇、舞蹈、電影與新媒體、文化資源6個學院，9個學系、20個碩士班、5個博士班，以及通識暨共同教育委員會。作為台灣最重要的藝術人才孕育場域，北藝大宗旨為「兼顧傳統與現代、國際與本土並進」，培育藝術創作、展演及學術研究人才，以創造藝術發展之新契機。在設備上，北藝大除了擁有一座藝術資料完整的圖書館之外，也是全台灣目前唯一擁有自己的專業音樂廳、戲劇廳、舞蹈廳、美術館與電影院的大學學府。本校也持續進行國際交流，與世界各國藝術教育接軌，並與一流藝術校院締結姊妹校，使本校成為高度國際化之專業藝術學府。
106,公立,一般大學,0029,國立臺灣藝術大學,1366,0,1336,...,97.80,國立臺灣藝術大學創校已一甲子，是臺灣歷史最悠久、學門及課程架構與教學師資最完備的藝術高等教育學府。六十年來的美的歷程，累積一甲子的辦學能量，迄今已鑄就無數頭角崢嶸的藝術家及精銳人才。目前本校共有美術、設計、傳播、表演藝術、人文五大學院，共設14系所、3個獨立研究所，2個教學中心等單位，架構出14系、20碩士班、6博士班的教學系統。本校秉持藝術乃人類心靈的最佳媒介，崇尚真善美校訓，兼容藝術理論與創作之多元觀點，培育求真、盡善、唯美之藝術家及藝術工作者，並以追求藝術卓越、創意頂尖、國際視野、品德優先為目標。
106,公立,一般大學,0030,國立臺東大學,1459,5,1222,...,84.04,本校創立於民國37年，早期培育國小師資之師範專科學校；民國92年更名為「國立臺東大學」，並增設人文及理工學院，成為綜合型大學。本校肩負地方教育文化的領導工作，配合臺東觀光休閒、民族藝術、南島文化、自然資源及體育發展，塑造出具有地方特色的高等學府，培育各領域專業人才及帶動地區經濟繁榮。  本校位於知本風景區附近，校地60公頃，除了各教學大樓外，另有設備新穎的攀岩場、室內游泳池、學生活動中心、宿舍、便利超商及榮獲臺灣十大非去不可的圖書資訊館，提供舒適完整的學習與生活機能，並設有多項獎助學金、免費住宿及學雜費減免措施。  本校至106學年度為止共設有3大學院、17個學系、1個獨立研究所及2個學士學位學程，透過繁星推薦、個人申請、考試分發、特殊選才、四技二專及單獨招生等多元管道，招收大學部、研究所及進修學制學生，學生總數達4千餘人，是一所溫暖精緻、師生關係融洽的教學型大學。
106,公立,一般大學,0031,國立宜蘭大學,1456,4,1348,...,92.84,"＊連續9年榮獲教育部獎勵大學「教學卓越計畫」肯定，教學資源再升級！  ＊106年獲教育部補助教學創新試辦計畫，合計投入6仟萬元於提升教學品質及強化創新教學、培養學生基本核心能力及強化師生國際參與。  ＊本校磨課師課程103-106年來共計獲1,022萬補助，並獲得香港GCMS2017大中華區MOOC研討會的MOOCr Award大獎，建立數位學習優質的典範。  ＊協助本校畢業生創業，培育團隊BASe（倍司寵物食品有限公司）獲105年度「大專畢業生創業服務計畫(U-start)」績優創業團隊。  ＊在科學研發及產學合作方面，106年度研究計畫截至八月底共160件，總補助經費達1億4132元。  ＊本校全球姊妹校已正式突破110所，持續往120所邁進，年增率達15%  ＊106年7月13日正式取得鄰近宜蘭科學園區的城南校區，將設置為創新學院，與科學園區產業攜手合作，作為創新育成的核心基地。"
106,公立,一般大學,0032,國立聯合大學,2150,2,1863,...,86.73,1.本校以「在地文化」、「優質教學」、「研究創新」及「社會服務」為四大願景，以橘綠科技為發展主軸，包含I2-GO科技（integrative、intellectual、green、orange）代表整合、智慧、環保概念的綠色科技，及強調人本關懷健康照護相關科技的橘色科技。擴大產、學、研在地策略聯盟，強化學生產學實習與就業能力、提昇畢業競爭力，並鏈結在地高中職，扮演社會智庫的功能，以建構苗栗大學城為終極目標。  2.本校位處苗栗市區，兩校區間有接駁專車供師生搭乘，持「聯大一卡通NUU iPASS」更可享有8公里免費搭乘行經本校區之路線公車，交通便利。校內有各類商店、餐廳及學生宿舍，學生宿舍現有8棟，每間人數4-6人，設備有冷氣、電扇、網路、書桌及衣櫃，及生活必需之公共設施等。且宿舍管理員採24小時三班制輪值，除提供學生優質的住宿環境外，並協助住宿生養成良好生活習慣及態度。
106,公立,技專校院,0033,國立虎尾科技大學,2998,4,2610,...,87.17,本校創校即著重於機電工程領域，「動手實作」的精神早已深植校園教學風氣，面對全球推動「工業4.0」趨勢，早已累積豐富的能量。以強調實務實作、應用實踐的「NFU Dream Maker」發起自學分享之相關活動，並大力推動跨領域自學社群，於2015年舉辦三十場以上的自學分享工作坊，藉由連結各系成立的技術社群，強化跨領域學習氛圍，進行實驗室之間的串聯，培養學生動手實作的學習風氣。本校於104學年度科技大學評鑑，24個受評單位皆獲得通過，為該年度評等最優的科技大學之一，積極推動典範科技大學計畫與教學卓越計畫，重視學生優質校園生活與國際交流活動，不斷追求卓越、展現特色，除每年選送並獎補助優良學生至國外進行長短期訪問研修，拓展國際視野外，亦規劃各跨領域學程，以增強學生升學與就業之競爭力，竭誠歡迎同學加入虎科大的行列。
106,公立,技專校院,0034,國立高雄海洋科技大學,2005,0,1782,...,88.88,本校是國內唯一以海洋特色為教學主軸、培育海洋專業人才的科技大學，創校以來，為國家培育大量優秀海事人才。並續以培育優質海洋科技人才，優化教學體系，提升學生學習成效，強化學生競爭力及就業力為職志與目標：配合政府生產力4.0政策，促進海洋產業升級，發展各式海洋科技人才培育機制，培養符合海洋產業需求、具跨域、研發能力之海洋科技實務人才。運用校務研究大數據庫分析結果，將學生學習成效回饋至教學單位進行補救、輔導課程規劃，以提升學生學習成效。開設相關海洋專業技能輔導班，培養學生第二專長，同時進行就業力預警與輔導，依學習成效評量成果，滾動式修正相關課程及施測內容，提升學生競爭力與就業力，以提供我國海洋科技產業永續發展所需之精實人才。
106,公立,一般大學,0035,國立臺南藝術大學,420,0,379,...,90.24,本校為一藝術專業大學，「修藝進德，臻於卓越」為學校發展願景。在校長帶領下秉持「藝術承傳、守護、轉化、創新」之使命感，以「藝術擴張、跨域、實驗、連結」的策略發展校務，致力營造提昇美感教育、啟發創造力及融合藝術於生活之優質學習環境，使師生在自由、自在及自信的學風中，成為志道、據德、依仁、游藝之人文藝術專才。同時以「兼重在地特色與國際視野之藝術教育」、「培養兼具傳統素養與創新能力之藝術人才」、「強調融合創造力與應用力之藝術內涵」以及「營造整合校園與周邊區域之藝術聚落」四大發展目標為基礎，擬訂校務發展計畫行動，期將傳統文化智慧與美學透過創作重新與現代思維連結，以歷史、文化及生活表現做為創作研究泉源，並以師生藝術創作、展演、研究及教育推廣之力量來關懷生命、服務社會，讓藝術之光度與強度在生活中自然發生，最終達成本校願景。
106,公立,一般大學,0036,國立臺南大學,1685,2,1504,...,89.36,國立臺南大學是南臺灣唯一百年綜合大學，創校至今118年，秉持傳統品德素養，志在培育具備「仁智誠正」之專業人才，經歷師專、師院改制，並於民國93年正式轉型為綜合大學，符應社會趨勢，不斷創新，陸續創立教育、人文與社會、藝術、理工、環境與生態、管理等6大學院21個學系，另設有29個碩士班、6個博士班，提供專業領域人才繼續深造之優良學習環境。本校立基臺南，以深耕在地，邁向國際為發展願景。除持續培育學生基本能力外，因應產業人才需求，與地區性產業進行產學合作，打造府城在地化特色大學。
